model,label,library,type,parameters,tags
glmnet,glmnet,"glmnet, Matrix",Regression,"alpha, lambda","Generalized Linear Model, Implicit Feature Selection, L1 Regularization, L2 Regularization, Linear Classifier, Linear Regression"
glmnet,glmnet,"glmnet, Matrix",Classification,"alpha, lambda","Generalized Linear Model, Implicit Feature Selection, L1 Regularization, L2 Regularization, Linear Classifier, Linear Regression"
glmStepAIC,Generalized Linear Model with Stepwise Feature Selection,MASS,Regression,parameter,"Generalized Linear Model, Feature Selection Wrapper, Linear Classifier, Implicit Feature Selection, Two Class Only, Accepts Case Weights"
glmStepAIC,Generalized Linear Model with Stepwise Feature Selection,MASS,Classification,parameter,"Generalized Linear Model, Feature Selection Wrapper, Linear Classifier, Implicit Feature Selection, Two Class Only, Accepts Case Weights"
gpls,Generalized Partial Least Squares,gpls,Classification,K.prov,"Logistic Regression, Partial Least Squares, Linear Classifier"
hda,Heteroscedastic Discriminant Analysis,hda,Classification,"gamma, lambda, newdim","Discriminant Analysis, Linear Classifier, Regularization"
hdda,High Dimensional Discriminant Analysis,HDclassif,Classification,"threshold, model","Discriminant Analysis, Linear Classifier"
hdrda,High-Dimensional Regularized Discriminant Analysis,sparsediscrim,Classification,"gamma, lambda, shrinkage_type","Discriminant Analysis, Polynomial Model, Regularization, Linear Classifier"
HYFIS,Hybrid Neural Fuzzy Inference System,frbs,Regression,"num.labels, max.iter",Rule-Based Model
icr,Independent Component Regression,fastICA,Regression,n.comp,"Linear Regression, Feature Extraction"
J48,C4.5-like Trees,RWeka,Classification,"C, M","Tree-Based Model, Implicit Feature Selection"
JRip,Rule-Based Classifier,RWeka,Classification,"NumOpt, NumFolds, MinWeights","Rule-Based Model, Implicit Feature Selection"
kernelpls,Partial Least Squares,pls,Regression,ncomp,"Partial Least Squares, Feature Extraction, Kernel Method, Linear Classifier, Linear Regression"
kernelpls,Partial Least Squares,pls,Classification,ncomp,"Partial Least Squares, Feature Extraction, Kernel Method, Linear Classifier, Linear Regression"
kknn,k-Nearest Neighbors,kknn,Regression,"kmax, distance, kernel",Prototype Models
kknn,k-Nearest Neighbors,kknn,Classification,"kmax, distance, kernel",Prototype Models
knn,k-Nearest Neighbors,NA,Classification,k,Prototype Models
knn,k-Nearest Neighbors,NA,Regression,k,Prototype Models
krlsPoly,Polynomial Kernel Regularized Least Squares,KRLS,Regression,"lambda, degree","Kernel Method, L2 Regularization, Polynomial Model"
krlsRadial,Radial Basis Function Kernel Regularized Least Squares,"KRLS, kernlab",Regression,"lambda, sigma","Kernel Method, L2 Regularization, Radial Basis Function"
lars,Least Angle Regression,lars,Regression,fraction,"Linear Regression, Implicit Feature Selection, L1 Regularization"
lars2,Least Angle Regression,lars,Regression,step,"Linear Regression, Implicit Feature Selection, L1 Regularization"
lasso,The lasso,elasticnet,Regression,fraction,"Linear Regression, Implicit Feature Selection, L1 Regularization"
lda,Linear Discriminant Analysis,MASS,Classification,parameter,"Discriminant Analysis, Linear Classifier"
lda2,Linear Discriminant Analysis,MASS,Classification,dimen,"Discriminant Analysis, Linear Classifier"
leapBackward,Linear Regression with Backwards Selection,leaps,Regression,nvmax,"Linear Regression, Feature Selection Wrapper"
leapForward,Linear Regression with Forward Selection,leaps,Regression,nvmax,"Linear Regression, Feature Selection Wrapper"
leapSeq,Linear Regression with Stepwise Selection,leaps,Regression,nvmax,"Linear Regression, Feature Selection Wrapper"
Linda,Robust Linear Discriminant Analysis,rrcov,Classification,parameter,"Discriminant Analysis, Linear Classifier, Robust Model"
lm,Linear Regression,NA,Regression,intercept,"Linear Regression, Accepts Case Weights"
lmStepAIC,Linear Regression with Stepwise Selection,MASS,Regression,parameter,"Linear Regression, Feature Selection Wrapper, Accepts Case Weights"
LMT,Logistic Model Trees,RWeka,Classification,iter,"Model Tree, Implicit Feature Selection, Logistic Regression, Linear Classifier"
loclda,Localized Linear Discriminant Analysis,klaR,Classification,k,"Discriminant Analysis, Linear Classifier"
logicBag,Bagged Logic Regression,logicFS,Regression,"nleaves, ntrees","Logic Regression, Linear Classifier, Linear Regression, Logistic Regression, Bagging, Ensemble Model, Two Class Only, Binary Predictors Only"
logicBag,Bagged Logic Regression,logicFS,Classification,"nleaves, ntrees","Logic Regression, Linear Classifier, Linear Regression, Logistic Regression, Bagging, Ensemble Model, Two Class Only, Binary Predictors Only"
LogitBoost,Boosted Logistic Regression,caTools,Classification,nIter,"Ensemble Model, Boosting, Implicit Feature Selection, Tree-Based Model, Logistic Regression"
logreg,Logic Regression,LogicReg,Regression,"treesize, ntrees","Logic Regression, Linear Classifier, Linear Regression, Logistic Regression, Two Class Only, Binary Predictors Only"
logreg,Logic Regression,LogicReg,Classification,"treesize, ntrees","Logic Regression, Linear Classifier, Linear Regression, Logistic Regression, Two Class Only, Binary Predictors Only"
lssvmLinear,Least Squares Support Vector Machine,kernlab,Classification,tau,"Kernel Method, Support Vector Machines, Linear Classifier"
lssvmPoly,Least Squares Support Vector Machine with Polynomial Kernel,kernlab,Classification,"degree, scale, tau","Kernel Method, Support Vector Machines, Polynomial Model"
lssvmRadial,Least Squares Support Vector Machine with Radial Basis Function Kernel,kernlab,Classification,"sigma, tau","Kernel Method, Support Vector Machines, Radial Basis Function"
lvq,Learning Vector Quantization,class,Classification,"size, k",Prototype Models
M5,Model Tree,RWeka,Regression,"pruned, smoothed, rules","Rule-Based Model, Tree-Based Model, Linear Regression, Implicit Feature Selection, Model Tree"
M5Rules,Model Rules,RWeka,Regression,"pruned, smoothed","Rule-Based Model, Linear Regression, Implicit Feature Selection, Model Tree"
manb,Model Averaged Naive Bayes Classifier,bnclassify,Classification,"smooth, prior","Bayesian Model, Categorical Predictors Only"
mda,Mixture Discriminant Analysis,mda,Classification,subclasses,"Discriminant Analysis, Mixture Model"
Mlda,Maximum Uncertainty Linear Discriminant Analysis,HiDimDA,Classification,parameter,"Discriminant Analysis, Linear Classifier"
mlp,Multi-Layer Perceptron,RSNNS,Regression,size,Neural Network
mlp,Multi-Layer Perceptron,RSNNS,Classification,size,Neural Network
mlpKerasDecay,Multilayer Perceptron Network with Weight Decay,keras,Regression,"size, lambda, batch_size, lr, rho, decay, activation","Neural Network, L2 Regularization"
mlpKerasDecay,Multilayer Perceptron Network with Weight Decay,keras,Classification,"size, lambda, batch_size, lr, rho, decay, activation","Neural Network, L2 Regularization"
mlpKerasDecayCost,Multilayer Perceptron Network with Weight Decay,keras,Classification,"size, lambda, batch_size, lr, rho, decay, cost, activation","Neural Network, L2 Regularization, Cost Sensitive Learning, Two Class Only"
mlpKerasDropout,Multilayer Perceptron Network with Dropout,keras,Regression,"size, dropout, batch_size, lr, rho, decay, activation",Neural Network
mlpKerasDropout,Multilayer Perceptron Network with Dropout,keras,Classification,"size, dropout, batch_size, lr, rho, decay, activation",Neural Network
mlpKerasDropoutCost,Multilayer Perceptron Network with Dropout,keras,Classification,"size, dropout, batch_size, lr, rho, decay, cost, activation","Neural Network, Cost Sensitive Learning, Two Class Only"
mlpML,"Multi-Layer Perceptron, with multiple layers",RSNNS,Regression,"layer1, layer2, layer3",Neural Network
mlpML,"Multi-Layer Perceptron, with multiple layers",RSNNS,Classification,"layer1, layer2, layer3",Neural Network
mlpSGD,Multilayer Perceptron Network by Stochastic Gradient Descent,"FCNN4R, plyr",Regression,"size, l2reg, lambda, learn_rate, momentum, gamma, minibatchsz, repeats","Neural Network, L2 Regularization"
mlpSGD,Multilayer Perceptron Network by Stochastic Gradient Descent,"FCNN4R, plyr",Classification,"size, l2reg, lambda, learn_rate, momentum, gamma, minibatchsz, repeats","Neural Network, L2 Regularization"
mlpWeightDecay,Multi-Layer Perceptron,RSNNS,Regression,"size, decay","Neural Network, L2 Regularization"
mlpWeightDecay,Multi-Layer Perceptron,RSNNS,Classification,"size, decay","Neural Network, L2 Regularization"
mlpWeightDecayML,"Multi-Layer Perceptron, multiple layers",RSNNS,Regression,"layer1, layer2, layer3, decay","Neural Network, L2 Regularization"
mlpWeightDecayML,"Multi-Layer Perceptron, multiple layers",RSNNS,Classification,"layer1, layer2, layer3, decay","Neural Network, L2 Regularization"
monmlp,Monotone Multi-Layer Perceptron Neural Network,monmlp,Classification,"hidden1, n.ensemble",Neural Network
monmlp,Monotone Multi-Layer Perceptron Neural Network,monmlp,Regression,"hidden1, n.ensemble",Neural Network
msaenet,Multi-Step Adaptive MCP-Net,msaenet,Regression,"alphas, nsteps, scale","Generalized Linear Model, Implicit Feature Selection, L1 Regularization, L2 Regularization, Linear Classifier, Linear Regression"
msaenet,Multi-Step Adaptive MCP-Net,msaenet,Classification,"alphas, nsteps, scale","Generalized Linear Model, Implicit Feature Selection, L1 Regularization, L2 Regularization, Linear Classifier, Linear Regression"
multinom,Penalized Multinomial Regression,nnet,Classification,decay,"Neural Network, L2 Regularization, Logistic Regression, Linear Classifier, Accepts Case Weights"
mxnet,Neural Network,mxnet,Classification,"layer1, layer2, layer3, learning.rate, momentum, dropout, activation",Neural Network
mxnet,Neural Network,mxnet,Regression,"layer1, layer2, layer3, learning.rate, momentum, dropout, activation",Neural Network
mxnetAdam,Neural Network,mxnet,Classification,"layer1, layer2, layer3, dropout, beta1, beta2, learningrate, activation",Neural Network
mxnetAdam,Neural Network,mxnet,Regression,"layer1, layer2, layer3, dropout, beta1, beta2, learningrate, activation",Neural Network
naive_bayes,Naive Bayes,naivebayes,Classification,"laplace, usekernel, adjust",Bayesian Model
nb,Naive Bayes,klaR,Classification,"fL, usekernel, adjust",Bayesian Model
nbDiscrete,Naive Bayes Classifier,bnclassify,Classification,smooth,"Bayesian Model, Categorical Predictors Only"
nbSearch,Semi-Naive Structure Learner Wrapper,bnclassify,Classification,"k, epsilon, smooth, final_smooth, direction","Bayesian Model, Categorical Predictors Only"
neuralnet,Neural Network,neuralnet,Regression,"layer1, layer2, layer3",Neural Network
nnet,Neural Network,nnet,Classification,"size, decay","Neural Network, L2 Regularization, Accepts Case Weights"
nnet,Neural Network,nnet,Regression,"size, decay","Neural Network, L2 Regularization, Accepts Case Weights"
nnls,Non-Negative Least Squares,nnls,Regression,parameter,Linear Regression
nodeHarvest,Tree-Based Ensembles,nodeHarvest,Regression,"maxinter, mode","Tree-Based Model, Implicit Feature Selection, Ensemble Model, Two Class Only"
nodeHarvest,Tree-Based Ensembles,nodeHarvest,Classification,"maxinter, mode","Tree-Based Model, Implicit Feature Selection, Ensemble Model, Two Class Only"
null,Non-Informative Model,NA,Classification,parameter,NA
null,Non-Informative Model,NA,Regression,parameter,NA
OneR,Single Rule Classification,RWeka,Classification,parameter,"Rule-Based Model, Implicit Feature Selection"
ordinalNet,Penalized Ordinal Regression,"ordinalNet, plyr",Classification,"alpha, criteria, link, lambda, modeltype, family","Generalized Linear Model, Implicit Feature Selection, L1 Regularization, L2 Regularization, Linear Classifier, Linear Regression, Ordinal Outcomes"
ordinalRF,Random Forest,"e1071, ranger, dplyr, ordinalForest",Classification,"nsets, ntreeperdiv, ntreefinal","Random Forest, Ensemble Model, Bagging, Implicit Feature Selection, Ordinal Outcomes"
ORFlog,Oblique Random Forest,obliqueRF,Classification,mtry,"Random Forest, Oblique Tree, Logistic Regression, Implicit Feature Selection, Ensemble Model, Two Class Only"
ORFpls,Oblique Random Forest,obliqueRF,Classification,mtry,"Random Forest, Oblique Tree, Partial Least Squares, Implicit Feature Selection, Ensemble Model, Two Class Only"
ORFridge,Oblique Random Forest,obliqueRF,Classification,mtry,"Random Forest, Oblique Tree, Ridge Regression, Implicit Feature Selection, Ensemble Model, Two Class Only, L2 Regularization"
ORFsvm,Oblique Random Forest,obliqueRF,Classification,mtry,"Random Forest, Oblique Tree, Kernel Method, Implicit Feature Selection, Ensemble Model, Two Class Only"
ownn,Optimal Weighted Nearest Neighbor Classifier,snn,Classification,K,Prototype Models
pam,Nearest Shrunken Centroids,pamr,Classification,threshold,"Prototype Models, Implicit Feature Selection, Linear Classifier"
parRF,Parallel Random Forest,"e1071, randomForest, foreach, import",Classification,mtry,"Random Forest, Ensemble Model, Bagging, Implicit Feature Selection"
parRF,Parallel Random Forest,"e1071, randomForest, foreach, import",Regression,mtry,"Random Forest, Ensemble Model, Bagging, Implicit Feature Selection"
PART,Rule-Based Classifier,RWeka,Classification,"threshold, pruned","Rule-Based Model, Implicit Feature Selection"
partDSA,partDSA,partDSA,Regression,"cut.off.growth, MPD",
partDSA,partDSA,partDSA,Classification,"cut.off.growth, MPD",
pcaNNet,Neural Networks with Feature Extraction,nnet,Classification,"size, decay","Neural Network, Feature Extraction, L2 Regularization, Accepts Case Weights"
pcaNNet,Neural Networks with Feature Extraction,nnet,Regression,"size, decay","Neural Network, Feature Extraction, L2 Regularization, Accepts Case Weights"
pcr,Principal Component Analysis,pls,Regression,ncomp,"Linear Regression, Feature Extraction"
pda,Penalized Discriminant Analysis,mda,Classification,lambda,"Discriminant Analysis, Polynomial Model, Accepts Case Weights"
pda2,Penalized Discriminant Analysis,mda,Classification,df,"Discriminant Analysis, Polynomial Model, Accepts Case Weights"
penalized,Penalized Linear Regression,penalized,Regression,"lambda1, lambda2","Implicit Feature Selection, L1 Regularization, L2 Regularization, Linear Regression"
PenalizedLDA,Penalized Linear Discriminant Analysis,"penalizedLDA, plyr",Classification,"lambda, K","Discriminant Analysis, L1 Regularization, Implicit Feature Selection, Linear Classifier"
plr,Penalized Logistic Regression,stepPlr,Classification,"lambda, cp","L2 Regularization, Logistic Regression, Linear Classifier"
pls,Partial Least Squares,pls,Regression,ncomp,"Partial Least Squares, Feature Extraction, Linear Classifier, Linear Regression"
pls,Partial Least Squares,pls,Classification,ncomp,"Partial Least Squares, Feature Extraction, Linear Classifier, Linear Regression"
plsRglm,Partial Least Squares Generalized Linear Models ,plsRglm,Classification,"nt, alpha.pvals.expli","Generalized Linear Models, Partial Least Squares, Two Class Only"
plsRglm,Partial Least Squares Generalized Linear Models ,plsRglm,Regression,"nt, alpha.pvals.expli","Generalized Linear Models, Partial Least Squares, Two Class Only"
polr,Ordered Logistic or Probit Regression,MASS,Classification,method,"Logistic Regression, Linear Classifier, Accepts Case Weights, Ordinal Outcomes"
ppr,Projection Pursuit Regression,NA,Regression,nterms,"Feature Extraction, Accepts Case Weights"
pre,Prediction Rule Ensembles,pre,Classification,"sampfrac, maxdepth, learnrate, mtry, use.grad, penalty.par.val","Rule-Based Model, Regularization"
pre,Prediction Rule Ensembles,pre,Regression,"sampfrac, maxdepth, learnrate, mtry, use.grad, penalty.par.val","Rule-Based Model, Regularization"
PRIM,Patient Rule Induction Method,supervisedPRIM,Classification,"peel.alpha, paste.alpha, mass.min","Rule-Based Model, Patient Rule Induction Method"
protoclass,Greedy Prototype Selection,"proxy, protoclass",Classification,"eps, Minkowski",Prototype Models
qda,Quadratic Discriminant Analysis,MASS,Classification,parameter,"Discriminant Analysis, Polynomial Model"
QdaCov,Robust Quadratic Discriminant Analysis,rrcov,Classification,parameter,"Discriminant Analysis, Polynomial Model"
qrf,Quantile Random Forest,quantregForest,Regression,mtry,"Random Forest, Ensemble Model, Bagging, Implicit Feature Selection, Quantile Regression, Robust Model"
qrnn,Quantile Regression Neural Network,qrnn,Regression,"n.hidden, penalty, bag","Neural Network, L2 Regularization, Quantile Regression, Bagging, Ensemble Model, Robust Model"
randomGLM,Ensembles of Generalized Linear Models,randomGLM,Regression,maxInteractionOrder,"Generalized Linear Model, Linear Classifier, Ensemble Model, Bagging"
randomGLM,Ensembles of Generalized Linear Models,randomGLM,Classification,maxInteractionOrder,"Generalized Linear Model, Linear Classifier, Ensemble Model, Bagging"
ranger,Random Forest,"e1071, ranger, dplyr",Classification,"mtry, splitrule, min.node.size","Random Forest, Ensemble Model, Bagging, Implicit Feature Selection, Accepts Case Weights"
ranger,Random Forest,"e1071, ranger, dplyr",Regression,"mtry, splitrule, min.node.size","Random Forest, Ensemble Model, Bagging, Implicit Feature Selection, Accepts Case Weights"
rbf,Radial Basis Function Network,RSNNS,Classification,size,"Neural Network, L2 Regularization, Radial Basis Function"
rbf,Radial Basis Function Network,RSNNS,Regression,size,"Neural Network, L2 Regularization, Radial Basis Function"
rbfDDA,Radial Basis Function Network,RSNNS,Regression,negativeThreshold,"Neural Network, L2 Regularization, Radial Basis Function"
rbfDDA,Radial Basis Function Network,RSNNS,Classification,negativeThreshold,"Neural Network, L2 Regularization, Radial Basis Function"
Rborist,Random Forest,Rborist,Classification,"predFixed, minNode","Random Forest, Ensemble Model, Bagging, Implicit Feature Selection"
Rborist,Random Forest,Rborist,Regression,"predFixed, minNode","Random Forest, Ensemble Model, Bagging, Implicit Feature Selection"
rda,Regularized Discriminant Analysis,klaR,Classification,"gamma, lambda","Discriminant Analysis, Polynomial Model, Regularization, Linear Classifier"
regLogistic,Regularized Logistic Regression,LiblineaR,Classification,"cost, loss, epsilon","Linear Classifier, Robust Methods, L1 Regularization, L2 Regularization"
relaxo,Relaxed Lasso,"relaxo, plyr",Regression,"lambda, phi","Implicit Feature Selection, L1 Regularization, L2 Regularization, Linear Regression"
rf,Random Forest,randomForest,Classification,mtry,"Random Forest, Ensemble Model, Bagging, Implicit Feature Selection"
rf,Random Forest,randomForest,Regression,mtry,"Random Forest, Ensemble Model, Bagging, Implicit Feature Selection"
rFerns,Random Ferns,rFerns,Classification,depth,"Random Forest, Ensemble Model, Bagging, Implicit Feature Selection"
RFlda,Factor-Based Linear Discriminant Analysis,HiDimDA,Classification,q,"Discriminant Analysis, Linear Classifier"
rfRules,Random Forest Rule-Based Model,"randomForest, inTrees, plyr",Classification,"mtry, maxdepth","Random Forest, Ensemble Model, Bagging, Implicit Feature Selection, Rule-Based Model"
rfRules,Random Forest Rule-Based Model,"randomForest, inTrees, plyr",Regression,"mtry, maxdepth","Random Forest, Ensemble Model, Bagging, Implicit Feature Selection, Rule-Based Model"
ridge,Ridge Regression,elasticnet,Regression,lambda,"Linear Regression, L2 Regularization"
rlda,Regularized Linear Discriminant Analysis,sparsediscrim,Classification,estimator,"Discriminant Analysis, Polynomial Model, Regularization, Linear Classifier"
rlm,Robust Linear Model,MASS,Regression,"intercept, psi","Linear Regression, Robust Model, Accepts Case Weights"
rmda,Robust Mixture Discriminant Analysis,robustDA,Classification,"K, model","Discriminant Analysis, Mixture Model, Robust Methods"
rocc,ROC-Based Classifier,rocc,Classification,xgenes,ROC Curves
rotationForest,Rotation Forest,rotationForest,Classification,"K, L","Ensemble Model, Implicit Feature Selection, Feature Extraction Models, Tree-Based Model, Two Class Only"
