model,label,library,type,parameters,tags
svmLinear2,Support Vector Machines with Linear Kernel,e1071,Classification,cost,"Kernel Method, Support Vector Machines, Linear Regression, Linear Classifier, Robust Methods"
svmLinear3,L2 Regularized Support Vector Machine (dual) with Linear Kernel,LiblineaR,Regression,"cost, Loss","Kernel Method, Support Vector Machines, Linear Regression, Linear Classifier, Robust Methods"
svmLinear3,L2 Regularized Support Vector Machine (dual) with Linear Kernel,LiblineaR,Classification,"cost, Loss","Kernel Method, Support Vector Machines, Linear Regression, Linear Classifier, Robust Methods"
svmLinearWeights,Linear Support Vector Machines with Class Weights,e1071,Classification,"cost, weight","Kernel Method, Support Vector Machines, Linear Classifier, Robust Methods, Cost Sensitive Learning, Two Class Only"
svmLinearWeights2,L2 Regularized Linear Support Vector Machines with Class Weights,LiblineaR,Classification,"cost, Loss, weight","Kernel Method, Support Vector Machines, Linear Classifier, Robust Methods, Cost Sensitive Learning, Two Class Only"
svmPoly,Support Vector Machines with Polynomial Kernel,kernlab,Regression,"degree, scale, C","Kernel Method, Support Vector Machines, Polynomial Model, Robust Methods"
svmPoly,Support Vector Machines with Polynomial Kernel,kernlab,Classification,"degree, scale, C","Kernel Method, Support Vector Machines, Polynomial Model, Robust Methods"
svmRadial,Support Vector Machines with Radial Basis Function Kernel,kernlab,Regression,"sigma, C","Kernel Method, Support Vector Machines, Radial Basis Function, Robust Methods"
svmRadial,Support Vector Machines with Radial Basis Function Kernel,kernlab,Classification,"sigma, C","Kernel Method, Support Vector Machines, Radial Basis Function, Robust Methods"
svmRadialCost,Support Vector Machines with Radial Basis Function Kernel,kernlab,Regression,C,"Kernel Method, Support Vector Machines, Radial Basis Function"
svmRadialCost,Support Vector Machines with Radial Basis Function Kernel,kernlab,Classification,C,"Kernel Method, Support Vector Machines, Radial Basis Function"
svmRadialSigma,Support Vector Machines with Radial Basis Function Kernel,kernlab,Regression,"sigma, C","Kernel Method, Support Vector Machines, Radial Basis Function, Robust Methods"
svmRadialSigma,Support Vector Machines with Radial Basis Function Kernel,kernlab,Classification,"sigma, C","Kernel Method, Support Vector Machines, Radial Basis Function, Robust Methods"
svmRadialWeights,Support Vector Machines with Class Weights,kernlab,Classification,"sigma, C, Weight","Kernel Method, Support Vector Machines, Radial Basis Function, Cost Sensitive Learning, Two Class Only"
svmSpectrumString,Support Vector Machines with Spectrum String Kernel,kernlab,Regression,"length, C","Kernel Method, Support Vector Machines, String Kernel, Robust Methods, Text Mining"
svmSpectrumString,Support Vector Machines with Spectrum String Kernel,kernlab,Classification,"length, C","Kernel Method, Support Vector Machines, String Kernel, Robust Methods, Text Mining"
tan,Tree Augmented Naive Bayes Classifier,bnclassify,Classification,"score, smooth","Bayesian Model, Categorical Predictors Only"
tanSearch,Tree Augmented Naive Bayes Classifier Structure Learner Wrapper,bnclassify,Classification,"k, epsilon, smooth, final_smooth, sp","Bayesian Model, Categorical Predictors Only"
treebag,Bagged CART,"ipred, plyr, e1071",Regression,parameter,"Tree-Based Model, Ensemble Model, Bagging, Accepts Case Weights"
treebag,Bagged CART,"ipred, plyr, e1071",Classification,parameter,"Tree-Based Model, Ensemble Model, Bagging, Accepts Case Weights"
vbmpRadial,Variational Bayesian Multinomial Probit Regression,vbmp,Classification,estimateTheta,"Gaussian Process, Bayesian Model, Radial Basis Function"
vglmAdjCat,Adjacent Categories Probability Model for Ordinal Data,VGAM,Classification,"parallel, link","Logistic Regression, Linear Classifier, Accepts Case Weights, Ordinal Outcomes"
vglmContRatio,Continuation Ratio Model for Ordinal Data,VGAM,Classification,"parallel, link","Logistic Regression, Linear Classifier, Accepts Case Weights, Ordinal Outcomes"
vglmCumulative,Cumulative Probability Model for Ordinal Data,VGAM,Classification,"parallel, link","Logistic Regression, Linear Classifier, Accepts Case Weights, Ordinal Outcomes"
widekernelpls,Partial Least Squares,pls,Regression,ncomp,"Partial Least Squares, Feature Extraction, Linear Classifier, Linear Regression"
widekernelpls,Partial Least Squares,pls,Classification,ncomp,"Partial Least Squares, Feature Extraction, Linear Classifier, Linear Regression"
WM,Wang and Mendel Fuzzy Rules,frbs,Regression,"num.labels, type.mf",Rule-Based Model
wsrf,Weighted Subspace Random Forest,wsrf,Classification,mtry,"Random Forest, Ensemble Model, Bagging, Implicit Feature Selection"
xgbDART,eXtreme Gradient Boosting,"xgboost, plyr",Regression,"nrounds, max_depth, eta, gamma, subsample, colsample_bytree, rate_drop, skip_drop, min_child_weight","Tree-Based Model, Boosting, Ensemble Model, Implicit Feature Selection, Accepts Case Weights"
xgbDART,eXtreme Gradient Boosting,"xgboost, plyr",Classification,"nrounds, max_depth, eta, gamma, subsample, colsample_bytree, rate_drop, skip_drop, min_child_weight","Tree-Based Model, Boosting, Ensemble Model, Implicit Feature Selection, Accepts Case Weights"
xgbLinear,eXtreme Gradient Boosting,xgboost,Regression,"nrounds, lambda, alpha, eta","Linear Classifier Models, Linear Regression Models, L1 Regularization Models, L2 Regularization Models, Boosting, Ensemble Model, Implicit Feature Selection"
xgbLinear,eXtreme Gradient Boosting,xgboost,Classification,"nrounds, lambda, alpha, eta","Linear Classifier Models, Linear Regression Models, L1 Regularization Models, L2 Regularization Models, Boosting, Ensemble Model, Implicit Feature Selection"
xgbTree,eXtreme Gradient Boosting,"xgboost, plyr",Regression,"nrounds, max_depth, eta, gamma, colsample_bytree, min_child_weight, subsample","Tree-Based Model, Boosting, Ensemble Model, Implicit Feature Selection, Accepts Case Weights"
xgbTree,eXtreme Gradient Boosting,"xgboost, plyr",Classification,"nrounds, max_depth, eta, gamma, colsample_bytree, min_child_weight, subsample","Tree-Based Model, Boosting, Ensemble Model, Implicit Feature Selection, Accepts Case Weights"
xyf,Self-Organizing Maps,kohonen,Classification,"xdim, ydim, user.weights, topo",Self-Organising Maps
xyf,Self-Organizing Maps,kohonen,Regression,"xdim, ydim, user.weights, topo",Self-Organising Maps
